artist,days,median danceability,median energy,median loudness,median speechiness,median acousticness,median liveness,median valence,median tempo,pc1,pc2,cluster
Migos,3227.0,0.8365,0.669,-5.681000000000001,0.154,0.0795,0.1325,0.35050000000000003,137.48,0.24252584099424224,-0.9188125165453402,2
Drake,6877.0,0.72,0.537,-7.7055,0.1735,0.11599999999999999,0.1225,0.3525,118.99000000000001,-0.5387894932146989,-0.2379227637211448,5
The Weeknd,2926.0,0.56,0.611,-7.015,0.0641,0.131,0.125,0.252,119.829,-0.464756363049998,-0.28690249561657855,5
The Chainsmokers,2577.0,0.616,0.6285000000000001,-6.6005,0.04265,0.058649999999999994,0.15050000000000002,0.398,104.47550000000001,0.025036791856059986,-0.3331684506262017,5
Rae Sremmurd,1147.0,0.8029999999999999,0.632,-5.193,0.0649,0.0544,0.111,0.264,131.986,-0.031009406007538685,-1.1530194633485804,2
DRAM,431.0,0.81,0.671,-6.227,0.1305,0.1325,0.1775,0.66,144.577,0.627423515883991,-0.37658725286085276,4
Aminé,561.0,0.7665,0.4095,-8.2945,0.247,0.1665,0.176,0.7510000000000001,128.893,-0.17742619192511686,0.5061310817807049,5
DJ Snake,578.0,0.768,0.7575000000000001,-4.33,0.040499999999999994,0.0801,0.0968,0.41600000000000004,104.95100000000001,0.15006458366378475,-1.5506994465385215,2
Big Sean,1222.0,0.62,0.611,-7.564,0.25,0.187,0.18600000000000003,0.336,96.634,0.09099467941830146,0.4577811227904699,5
Bruno Mars,946.0,0.761,0.6884999999999999,-4.9190000000000005,0.06255,0.026250000000000002,0.0887,0.746,120.518,0.09958826510385377,-1.5715209715650789,2
Machine Gun Kelly,464.0,0.6665000000000001,0.7310000000000001,-4.7875,0.10264999999999999,0.0208,0.1835,0.291,133.45799999999997,0.9394858491848879,-0.6434662958605408,4
21 Savage,2397.0,0.845,0.47200000000000003,-8.012,0.34299999999999997,0.0723,0.11800000000000001,0.243,139.996,-0.5382295995392373,-0.28646966300907595,5
ZAYN,666.0,0.4955,0.567,-6.311,0.048549999999999996,0.10899999999999999,0.0953,0.305,119.4625,-0.699901729619258,-0.6130971459546092,5
Maroon 5,1271.0,0.7070000000000001,0.603,-5.569,0.0555,0.228,0.10099999999999999,0.44799999999999995,110.001,-0.4936554805148692,-0.7746914001141124,5
Rob $tone,256.0,0.8859999999999999,0.42700000000000005,-10.027999999999999,0.145,0.0312,0.0906,0.23,108.03399999999999,-1.3195393197546652,-0.17794794409643974,5
J. Cole,2559.0,0.7190000000000001,0.49700000000000005,-8.465,0.32,0.281,0.122,0.469,100.0,-0.8648140668968729,0.25301114468071484,5
Young M.A,77.0,0.7475,0.677,-4.4639999999999995,0.40800000000000003,0.28689999999999993,0.14700000000000002,0.359,125.5385,0.4080166681014143,-0.5579075014592918,2
Chance the Rapper,1105.0,0.705,0.598,-7.267,0.29100000000000004,0.177,0.109,0.565,124.456,-0.4093687997820235,-0.45014317517275754,5
Hailee Steinfeld,892.0,0.6629999999999999,0.615,-5.529,0.0647,0.0337,0.0853,0.41700000000000004,102.986,-0.37831175074873064,-1.187942135014822,2
Ariana Grande,3518.0,0.6665,0.6025,-5.8870000000000005,0.0626,0.1,0.11599999999999999,0.42800000000000005,116.979,-0.22962412975215427,-0.7457176797372488,5
Shawn Mendes,1472.0,0.706,0.54,-6.76,0.0827,0.255,0.10800000000000001,0.601,116.947,-0.681126992600725,-0.3845576894791925,5
Martin Garrix,681.0,0.532,0.639,-6.976,0.0412,0.129,0.14,0.221,128.03799999999998,-0.28564009302902427,-0.18713458108069259,5
