rank,date,artist,title,max_streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
1,2017-01-01,Migos,Bad and Boujee (feat. Lil Uzi Vert),1823391,0.927,0.665,11.0,-5.313,1.0,0.244,0.061,0.0,0.12300000000000001,0.175,127.07600000000001,spotify:track:4Km5HrUvYTaSUfiSGPJeQR,343150.0,4.0
2,2017-01-01,Drake,Fake Love,1428332,0.9279999999999999,0.48100000000000004,9.0,-9.35,0.0,0.287,0.105,0.0,0.17600000000000002,0.613,134.007,spotify:track:343YBumqHu19cGoGARUTsd,210937.0,4.0
3,2017-01-01,The Weeknd,Starboy,1134858,0.679,0.5870000000000001,7.0,-7.015,1.0,0.276,0.141,6.35e-06,0.13699999999999998,0.486,186.003,spotify:track:7MXVkk9YMctZqd1Srtv4MB,230453.0,4.0
4,2017-01-01,The Chainsmokers,Closer,1010492,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.6609999999999999,95.01,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,244960.0,4.0
5,2017-01-01,Rae Sremmurd,Black Beatles,874289,0.794,0.632,0.0,-6.162999999999999,1.0,0.0649,0.142,0.0,0.128,0.355,145.92600000000002,spotify:track:6fujklziTHa8uoM5OQSfIo,291893.0,4.0
6,2017-01-01,DRAM,Broccoli (feat. Lil Yachty),763259,0.8859999999999999,0.525,8.0,-7.39,1.0,0.132,0.23600000000000002,0.0,0.057,0.708,145.99,spotify:track:0O5fLzF9V8FCe0QXAi04ov,225205.0,4.0
7,2017-01-01,Drake,One Dance,753150,0.792,0.625,1.0,-5.609,1.0,0.0536,0.0077599999999999995,0.0018800000000000002,0.32899999999999996,0.37,103.96700000000001,spotify:track:1zi7xx7UVEFkmKfv06H8x0,173987.0,4.0
8,2017-01-01,Aminé,Caroline,835200,0.941,0.335,5.0,-10.179,0.0,0.505,0.17,0.0,0.262,0.7070000000000001,120.041,spotify:track:5hTpBe8h35rJ67eAWHQsJx,209640.0,4.0
9,2017-01-01,DJ Snake,Let Me Love You,690483,0.649,0.716,8.0,-5.371,1.0,0.0349,0.0863,2.6300000000000002e-05,0.135,0.163,99.988,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,205947.0,4.0
10,2017-01-01,Big Sean,Bounce Back,1390055,0.78,0.575,1.0,-5.627999999999999,0.0,0.139,0.106,0.0,0.129,0.273,81.502,spotify:track:0SGkqnVQo9KPytSri1H6cF,222360.0,4.0
11,2017-01-01,The Weeknd,I Feel It Coming,770969,0.773,0.8190000000000001,0.0,-5.946000000000001,0.0,0.11800000000000001,0.428,0.0,0.0679,0.585,92.98700000000001,spotify:track:3dhjNA0jGA8vHBQ1VdD6vV,269187.0,4.0
12,2017-01-01,Bruno Mars,24K Magic,574974,0.818,0.8029999999999999,1.0,-4.282,1.0,0.0797,0.034,0.0,0.153,0.632,106.97,spotify:track:6b8Be6ljOzmkOmFslEb23P,225983.0,4.0
13,2017-01-01,Machine Gun Kelly,Bad Things (with Camila Cabello),787647,0.6970000000000001,0.691,2.0,-4.757,1.0,0.146,0.214,0.0,0.185,0.305,137.85299999999998,spotify:track:1PSBzsahR2AKwLJgx8ehBj,239293.0,4.0
14,2017-01-01,21 Savage,X (feat. Future),598134,0.835,0.413,1.0,-9.81,1.0,0.396,0.373,0.00133,0.10099999999999999,0.111,149.004,spotify:track:6fwdbPMwP1zVStm8FybmkO,258880.0,4.0
15,2017-01-01,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",1198051,0.736,0.445,0.0,-8.402000000000001,1.0,0.0556,0.057999999999999996,1.6100000000000002e-05,0.214,0.105,117.962,spotify:track:1ZprbP3rZup21GdEHkXU2O,245653.0,4.0
16,2017-01-01,Maroon 5,Don't Wanna Know,603439,0.552,0.62,7.0,-6.104,1.0,0.12,0.332,0.0,0.10300000000000001,0.408,99.94,spotify:track:5s7xBgpUod0RatjDKEyW3g,212680.0,4.0
17,2017-01-01,Rob $tone,Chill Bill (feat. J. Davi$ & Spooks),553472,0.8859999999999999,0.42700000000000005,6.0,-10.027999999999999,1.0,0.145,0.0312,0.00099,0.0906,0.23,108.03399999999999,spotify:track:5uDASfU19gDxSjW8cnCaBp,177184.0,4.0
18,2017-01-01,J. Cole,Deja Vu,557844,0.657,0.42100000000000004,9.0,-11.378,1.0,0.41200000000000003,0.35200000000000004,0.000218,0.187,0.18100000000000002,174.063,spotify:track:6I6NX6tjGsxFAsIfGzY9lJ,264747.0,4.0
19,2017-01-01,Young M.A,OOOUUU,456308,0.635,0.847,7.0,-3.1519999999999997,1.0,0.447,0.5329999999999999,0.0,0.154,0.568,166.072,spotify:track:7JYsArznYOjX2jsrT3UEnL,234650.0,4.0
20,2017-01-01,The Weeknd,Party Monster,537810,0.573,0.63,1.0,-8.389,1.0,0.105,0.18899999999999997,2.3100000000000002e-05,0.259,0.218,77.525,spotify:track:4F7A0DXBrmUAkp32uenhZt,249213.0,4.0
21,2017-01-01,Chance the Rapper,No Problem (feat. Lil Wayne & 2 Chainz),698632,0.652,0.795,11.0,-5.192,0.0,0.174,0.156,0.0,0.12300000000000001,0.7879999999999999,135.018,spotify:track:0v9Wz8o0BT8DU38R4ddjeH,304607.0,4.0
22,2017-01-01,21 Savage,No Heart,560502,0.9059999999999999,0.444,4.0,-8.692,0.0,0.384,0.136,6.440000000000001e-05,0.17300000000000001,0.6779999999999999,140.063,spotify:track:4gmmRb6bZJffOOiww1JGTO,235040.0,4.0
23,2017-01-01,Hailee Steinfeld,Starving,523866,0.7290000000000001,0.615,4.0,-4.238,1.0,0.0647,0.37799999999999995,0.0,0.105,0.508,99.98899999999999,spotify:track:4Ce37cRWvM1vIGGynKcs22,181880.0,4.0
24,2017-01-01,The Chainsmokers,Don't Let Me Down,446177,0.532,0.8690000000000001,11.0,-5.093999999999999,1.0,0.172,0.157,0.0050799999999999994,0.136,0.42200000000000004,159.803,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,208373.0,4.0
25,2017-01-01,Ariana Grande,Side To Side,479560,0.65,0.736,6.0,-5.84,0.0,0.22899999999999998,0.0513,0.0,0.235,0.612,159.174,spotify:track:1pKeFVVUOPjFsOABub0OaV,226160.0,4.0
26,2017-01-01,Shawn Mendes,Treat You Better,438954,0.444,0.8190000000000001,10.0,-4.078,0.0,0.341,0.106,0.0,0.107,0.747,82.695,spotify:track:3QGsuHI8jO1Rx4JWLUh9jd,187973.0,4.0
27,2017-01-01,Martin Garrix,In the Name of Love,523541,0.501,0.519,4.0,-5.88,0.0,0.0409,0.109,0.0,0.45399999999999996,0.168,133.99,spotify:track:23L5CiUhw2jV1OIMwthR3S,195707.0,4.0
28,2017-01-01,Drake,Sneakin’,489685,0.8059999999999999,0.5579999999999999,8.0,-6.537999999999999,1.0,0.172,0.00496,1.45e-06,0.16,0.26,85.01100000000001,spotify:track:4ckuS4Nj4FZ7i3Def3Br8W,251333.0,4.0
29,2017-01-01,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",417329,0.669,0.8320000000000001,0.0,-5.72,1.0,0.0682,0.0106,0.0,0.0968,0.7,113.035,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,237547.0,4.0
30,2017-01-01,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),405483,0.8029999999999999,0.585,8.0,-5.861000000000001,1.0,0.0432,0.10300000000000001,3.94e-06,0.0644,0.593,105.01700000000001,spotify:track:4tCtwWceOPWzenK2HAIJSb,214480.0,4.0
