artist,total_days,median_danceability,median_energy,median_loudness,median_speechiness,median_acousticness,median_liveness,median_valence,median_tempo,cluster
Migos,3227.0,0.8365,0.669,-5.681000000000001,0.154,0.0795,0.1325,0.35050000000000003,137.48,1
Drake,6877.0,0.72,0.537,-7.705499999999999,0.1735,0.116,0.1225,0.3525,118.99,8
The Weeknd,2926.0,0.56,0.611,-7.015,0.0641,0.131,0.125,0.252,119.829,8
The Chainsmokers,2577.0,0.616,0.6285000000000001,-6.6005,0.04265,0.058649999999999994,0.15050000000000002,0.398,104.47550000000001,3
Rae Sremmurd,1147.0,0.8029999999999999,0.632,-5.193,0.0649,0.0544,0.111,0.264,131.986,1
DRAM,431.0,0.81,0.671,-6.227,0.1305,0.1325,0.1775,0.66,144.577,3
Aminé,561.0,0.7665,0.4095,-8.2945,0.247,0.1665,0.176,0.7510000000000001,128.893,3
DJ Snake,578.0,0.768,0.7575000000000001,-4.33,0.040499999999999994,0.0801,0.0968,0.41600000000000004,104.951,1
Big Sean,1222.0,0.62,0.611,-7.564,0.25,0.187,0.18600000000000005,0.336,96.634,3
Bruno Mars,946.0,0.761,0.6884999999999999,-4.9190000000000005,0.06255,0.026250000000000002,0.0887,0.746,120.518,1
Machine Gun Kelly,464.0,0.6665000000000001,0.7310000000000001,-4.7875,0.10264999999999999,0.0208,0.1835,0.29100000000000004,133.45799999999997,3
21 Savage,2397.0,0.845,0.472,-8.012,0.343,0.0723,0.118,0.243,139.996,8
ZAYN,666.0,0.4955,0.567,-6.311,0.048549999999999996,0.10900000000000001,0.0953,0.305,119.4625,8
Maroon 5,1271.0,0.7070000000000001,0.603,-5.569,0.0555,0.228,0.101,0.448,110.001,8
Rob $tone,256.0,0.8859999999999999,0.4270000000000001,-10.028,0.145,0.0312,0.0906,0.23,108.034,7
J. Cole,2559.0,0.7190000000000001,0.4970000000000001,-8.465,0.32,0.281,0.122,0.469,100.0,7
Young M.A,77.0,0.7475,0.677,-4.464,0.40800000000000003,0.28689999999999993,0.14700000000000002,0.359,125.5385,3
Chance the Rapper,1105.0,0.705,0.598,-7.267,0.29100000000000004,0.177,0.109,0.565,124.456,8
Hailee Steinfeld,892.0,0.6629999999999999,0.615,-5.529,0.0647,0.0337,0.0853,0.417,102.986,8
Ariana Grande,3518.0,0.6665,0.6025,-5.8870000000000005,0.0626,0.1,0.11599999999999999,0.42800000000000005,116.979,8
Shawn Mendes,1472.0,0.706,0.54,-6.76,0.0827,0.255,0.108,0.601,116.947,8
Martin Garrix,681.0,0.532,0.639,-6.976,0.0412,0.129,0.14,0.221,128.03799999999998,8
Justin Timberlake,419.0,0.7070000000000001,0.62,-6.634,0.0517,0.103,0.183,0.574,113.019,3
Fifth Harmony,217.0,0.5920000000000001,0.525,-6.297999999999999,0.0439,0.103,0.128,0.401,124.008,8
Twenty One Pilots,691.0,0.708,0.6045,-7.294499999999999,0.04675,0.0794,0.109,0.47250000000000003,110.99350000000001,8
Lil Uzi Vert,4621.0,0.775,0.6579999999999999,-6.057,0.213,0.0715,0.155,0.49,135.879,3
Calvin Harris,1019.0,0.7759999999999999,0.785,-3.87,0.0545,0.152,0.14800000000000002,0.606,116.003,1
James Arthur,829.0,0.529,0.557,-6.164,0.0574,0.237,0.0902,0.479,107.969,8
Young Thug,1925.0,0.852,0.531,-8.052999999999999,0.215,0.0247,0.135,0.43,138.049,8
KYLE,709.0,0.746,0.584,-6.745,0.14,0.121,0.297,0.6759999999999999,156.572,9
Sia,217.0,0.628,0.703,-5.608,0.0817,0.034,0.0894,0.561,112.009,1
Rihanna,474.0,0.6890000000000001,0.5855,-5.534000000000001,0.07585,0.08075,0.0872,0.46799999999999997,117.90950000000001,8
Desiigner,287.0,0.6845000000000001,0.728,-5.1105,0.21799999999999997,0.0698,0.2925,0.33,132.044,9
Alessia Cara,151.0,0.5475,0.5974999999999999,-6.5275,0.126,0.0692,0.2865,0.44400000000000006,133.926,9
Adele,123.0,0.5740000000000001,0.48750000000000004,-7.455,0.05255,0.18875,0.1065,0.38049999999999995,126.474,7
John Legend,79.0,0.488,0.7070000000000001,-6.276,0.0865,0.591,0.125,0.5820000000000001,123.889,7
Justin Bieber,619.0,0.6565,0.53,-6.877999999999999,0.04585,0.402,0.118,0.617,134.483,7
Zay Hilfigerrr,35.0,0.807,0.887,-3.892,0.275,0.00381,0.391,0.78,160.517,6
The Jackson 5,53.0,0.6395,0.621,-11.322500000000002,0.05065,0.29100000000000004,0.26,0.909,137.803,2
DNCE,4.0,0.773,0.7485,-5.6240000000000006,0.04575,0.10385,0.061149999999999996,0.8779999999999999,119.5335,1
Future,2371.0,0.799,0.561,-6.9510000000000005,0.215,0.0613,0.149,0.329,140.064,3
Travis Scott,4280.0,0.7090000000000001,0.6185,-5.3905,0.05565,0.07625,0.1535,0.269,140.4795,3
Childish Gambino,861.0,0.6859999999999999,0.505,-9.7225,0.11499999999999999,0.158,0.116,0.3605,118.3685,7
Steve Aoki,120.0,0.647,0.866,-3.517,0.0585,0.0702,0.72,0.387,96.097,4
Michael Jackson,21.0,0.8315,0.8334999999999999,-4.269,0.0465,0.08505,0.475,0.8434999999999999,118.49100000000001,6
Clean Bandit,594.0,0.7135,0.6325000000000001,-4.5635,0.048549999999999996,0.279,0.159,0.511,105.0035,3
Marvin Gaye,8.0,0.6629999999999999,0.6,-10.87,0.032,0.43,0.184,0.8,129.991,7
Lil Wayne,835.0,0.743,0.639,-5.372999999999998,0.28,0.14300000000000002,0.152,0.535,122.078,3
Shakira,156.0,0.775,0.8220000000000001,-4.862,0.0776,0.187,0.202,0.868,107.661,9
Foster The People,18.0,0.68,0.738,-4.976,0.0292,0.145,0.37,0.675,105.015,6
G-Eazy,1027.0,0.7635000000000001,0.718,-5.2055,0.2425,0.06525,0.1285,0.366,115.02,1
DJ ESCO,53.0,0.9285,0.5895,-6.544500000000001,0.18730000000000002,0.04965,0.16350000000000003,0.3425,136.5,3
Sage The Gemini,64.0,0.7809999999999999,0.57,-5.874,0.188,0.273,0.196,0.858,107.059,3
Mike Posner,92.0,0.7115,0.776,-4.586500000000001,0.0767,0.188,0.09665,0.614,101.987,1
Pharrell Williams,23.0,0.739,0.7675000000000001,-4.154,0.1385,0.2,0.07400000000000001,0.826,146.06400000000002,1
Jon Bellion,159.0,0.507,0.527,-7.47,0.0539,0.0677,0.16649999999999998,0.5680000000000001,115.758,3
Lil Yachty,452.0,0.835,0.59,-6.982,0.273,0.105,0.129,0.322,131.077,8
M.I.A.,3.0,0.447,0.848,-6.175,0.222,0.033,0.722,0.485,172.247,4
David Guetta,219.0,0.6805000000000001,0.791,-4.3469999999999995,0.057800000000000004,0.051500000000000004,0.133,0.48050000000000004,126.027,1
Queen,796.0,0.5670000000000001,0.65,-7.316,0.0565,0.28800000000000003,0.215,0.473,113.809,3
Post Malone,10513.0,0.652,0.653,-5.046,0.0555,0.215,0.131,0.331,130.218,8
The Vamps,96.0,0.54,0.8029999999999999,-5.194,0.0358,0.00403,0.33,0.501,144.997,6
Cashmere Cat,150.0,0.46499999999999997,0.5625,-7.3065,0.10575,0.1775,0.11199999999999999,0.329,93.46950000000001,7
gnash,86.0,0.4920000000000001,0.275,-13.4,0.3,0.687,0.101,0.18,92.6,5
Kodak Black,2721.0,0.7665,0.616,-6.022,0.2685,0.1058,0.1205,0.4545,139.02300000000002,8
Bryson Tiller,1037.0,0.6495,0.5055000000000001,-7.6259999999999994,0.22100000000000003,0.11499999999999999,0.12,0.42150000000000004,121.8075,8
Ugly God,148.0,0.813,0.312,-11.902,0.337,0.302,0.0962,0.184,89.484,0
Daryl Hall & John Oates,51.0,0.6659999999999999,0.6829999999999999,-6.644,0.0552,0.461,0.0935,0.84,167.058,8
Flume,84.0,0.586,0.6399999999999999,-5.1085,0.06915,0.2715,0.14150000000000001,0.35750000000000004,126.55099999999999,8
Nevada,13.0,0.711,0.882,-4.276,0.0576,0.0626,0.226,0.56,106.017,9
Kiiara,81.0,0.748,0.479,-6.968500000000001,0.11095,0.3825,0.119,0.5405,110.543,7
Macklemore & Ryan Lewis,8.0,0.7109999999999999,0.724,-5.721,0.1858,0.0455,0.06595,0.7545,120.535,1
PnB Rock,518.0,0.703,0.642,-5.84,0.0729,0.114,0.114,0.374,141.903,8
AJR,307.0,0.648,0.639,-4.938,0.0507,0.0465,0.161,0.698,139.918,1
PARTYNEXTDOOR,243.0,0.683,0.48050000000000004,-7.796499999999999,0.05655,0.22549999999999998,0.105,0.405,113.6425,7
The Beatles,3.0,0.5195000000000001,0.6945000000000001,-9.841000000000001,0.03995,0.33744999999999997,0.11019999999999999,0.6655,126.901,7
Noah Cyrus,284.0,0.664,0.471,-7.287000000000001,0.0422,0.5920000000000001,0.0779,0.209,119.973,7
Kanye West,853.0,0.617,0.573,-5.672999999999999,0.136,0.123,0.187,0.393,98.008,3
fun.,2.0,0.378,0.638,-5.5760000000000005,0.075,0.02,0.0849,0.735,184.086,8
Aretha Franklin,16.0,0.65,0.473,-10.817,0.0389,0.249,0.0803,0.629,110.962,7
Meek Mill,821.0,0.6675,0.7020000000000001,-5.286999999999999,0.2395,0.053599999999999995,0.1775,0.34450000000000003,95.047,3
Charlie Puth,645.0,0.7490000000000001,0.604,-5.658,0.0778,0.314,0.111,0.632,114.966,8
Stevie Wonder,27.0,0.633,0.6940000000000001,-8.552999999999999,0.0338,0.038,0.0805,0.813,100.499,8
MadeinTYO,299.0,0.831,0.47,-7.48,0.28,0.0371,0.14400000000000002,0.299,139.951,3
Petit Biscuit,87.0,0.7829999999999999,0.467,-9.474,0.0503,0.7290000000000001,0.109,0.236,90.838,0
Paul Simon,3.0,0.701,0.7895,-9.3585,0.09175,0.2095,0.0905,0.8089999999999999,116.88149999999999,8
AC/DC,9.0,0.5525,0.8400000000000001,-5.151,0.0947,0.030985,0.273,0.5885,121.53800000000001,9
Bee Gees,2.0,0.703,0.826,-7.1789999999999985,0.0341,0.0322,0.179,0.945,103.564,3
San Holo,53.0,0.57,0.763,-4.137,0.0573,0.0857,0.0932,0.43,150.088,1
Van Morrison,6.0,0.491,0.583,-10.964,0.0376,0.182,0.407,0.907,150.572,2
Carly Rae Jepsen,3.0,0.71,0.633,-6.5470000000000015,0.0408,0.0135,0.108,0.648,120.021,8
Flo Rida,96.0,0.7369999999999999,0.778,-4.5195,0.0511,0.047200000000000006,0.1535,0.7135,99.542,1
Skrillex,72.0,0.555,0.9045000000000001,-2.9755000000000003,0.0943,0.004900000000000001,0.5745,0.19505,136.6575,4
Lukas Graham,44.0,0.765,0.473,-5.829,0.0514,0.287,0.391,0.34,119.992,6
The Temptations,2.0,0.5720000000000001,0.418,-10.738,0.0349,0.635,0.0961,0.6940000000000001,104.566,0
Nebu Kiniza,188.0,0.7979999999999999,0.568,-9.072,0.135,0.0213,0.0586,0.45,148.88,8
FRENSHIP,38.0,0.6829999999999999,0.708,-6.244,0.0305,0.0398,0.6859999999999999,0.355,92.991,4
Zara Larsson,234.0,0.665,0.6990000000000001,-5.265,0.0617,0.0853,0.0839,0.585,101.976,1
JAY-Z,39.0,0.7375,0.8260000000000001,-4.898000000000001,0.2405,0.09365,0.465,0.76,123.536,6
Luke Christopher,49.0,0.405,0.846,-3.57,0.195,0.0948,0.0666,0.602,82.23200000000001,1
Nicki Minaj,519.0,0.808,0.6970000000000001,-5.324999999999999,0.1995,0.08860000000000001,0.1365,0.473,134.0105,1
O.T. Genasis,1.0,0.875,0.6729999999999999,-4.184,0.0932,0.135,0.292,0.231,130.0,9
Russ,1093.0,0.738,0.635,-6.529,0.206,0.132,0.109,0.398,108.982,8
Tory Lanez,528.0,0.669,0.647,-7.093,0.23,0.08499999999999999,0.1485,0.373,119.936,3
Coldplay,35.0,0.503,0.7120000000000001,-6.412000000000001,0.0357,0.0254,0.109,0.252,108.897,8
Jeremih,51.0,0.5705,0.6135,-6.1875,0.08315,0.1109,0.1215,0.479,89.2835,8
A Boogie Wit da Hoodie,2130.0,0.729,0.6165,-6.531499999999999,0.165,0.2365,0.1135,0.4445,128.8375,8
Marc E. Bassy,33.0,0.496,0.6395,-7.1265,0.30400000000000005,0.07715,0.13065,0.657,90.912,3
The Clash,2.0,0.742,0.833,-6.462999999999999,0.115,0.079,0.384,0.816,113.375,6
Vice,102.0,0.779,0.6509999999999999,-5.829,0.0814,0.0601,0.115,0.65,104.953,1
Otis Redding,1.0,0.883,0.464,-11.251,0.0591,0.279,0.0744,0.925,111.548,7
Fetty Wap,8.0,0.6819999999999999,0.795,-4.7705,0.223,0.01348,0.4895,0.71,169.0625,6
Chris Brown,748.0,0.6904999999999999,0.6225,-5.481999999999999,0.11080000000000001,0.121,0.125,0.483,114.36500000000001,8
Jonas Blue,254.0,0.693,0.789,-3.9845,0.03725,0.195,0.08985,0.601,105.03999999999999,1
Bebe Rexha,1172.0,0.63,0.618,-5.908,0.052000000000000005,0.047,0.104,0.401,97.005,8
