rank,date,artist,title,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,uri,duration_ms,time_signature,bx_speechiness,bx_acousticness,lg_liveness,pc1,pc2,cluster
1,2017-01-01,Migos,Bad and Boujee (feat. Lil Uzi Vert),"1,371,493",0.927,0.665,11.0,-5.313,1.0,0.244,0.061,0.12300000000000001,0.175,127.07600000000001,spotify:track:4Km5HrUvYTaSUfiSGPJeQR,343150.0,4.0,-1.5732690546290669,-2.058362021014597,-2.0955709236097193,-0.5848251063473209,-0.7567123105049601,4
2,2017-01-01,Drake,Fake Love,"1,180,074",0.9279999999999999,0.48100000000000004,9.0,-9.35,0.0,0.287,0.105,0.17600000000000002,0.613,134.007,spotify:track:343YBumqHu19cGoGARUTsd,210937.0,4.0,-1.3745908168550156,-1.7556502120738655,-1.7372712839439852,0.5868911081494178,-0.7654797479123832,5
3,2017-01-01,The Weeknd,Starboy,"1,064,351",0.679,0.5870000000000001,7.0,-7.015,1.0,0.276,0.141,0.13699999999999998,0.486,186.003,spotify:track:7MXVkk9YMctZqd1Srtv4MB,230453.0,4.0,-1.4219806244789386,-1.5746648093089475,-1.9877743531540122,-0.005698663074977841,-0.236082390384142,1
4,2017-01-01,The Chainsmokers,Closer,"1,010,492",0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.111,0.6609999999999999,95.01,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,244960.0,4.0,-4.430725507282619,-0.7976216152906581,-2.198225077669803,0.06975301392774493,-0.5345721067919263,5
5,2017-01-01,Rae Sremmurd,Black Beatles,"874,289",0.794,0.632,0.0,-6.162999999999999,1.0,0.0649,0.142,0.128,0.355,145.92600000000002,spotify:track:6fujklziTHa8uoM5OQSfIo,291893.0,4.0,-3.3912598682363644,-1.5701725353127558,-2.05572501506252,-0.19679003273092843,-0.38897329391516616,1
6,2017-01-01,DRAM,Broccoli (feat. Lil Yachty),"763,259",0.8859999999999999,0.525,8.0,-7.39,1.0,0.132,0.23600000000000002,0.057,0.708,145.99,spotify:track:0O5fLzF9V8FCe0QXAi04ov,225205.0,4.0,-2.3712839486951256,-1.2272032158136352,-2.864704011147587,0.20009536650521534,-1.745474852147109,5
7,2017-01-01,Drake,One Dance,"753,150",0.792,0.625,1.0,-5.609,1.0,0.0536,0.0077599999999999995,0.32899999999999996,0.37,103.96700000000001,spotify:track:1zi7xx7UVEFkmKfv06H8x0,173987.0,4.0,-3.6854519121400933,-2.915779042752152,-1.1116975282167654,-0.641339893595604,0.5745726045198235,2
8,2017-01-01,Aminé,Caroline,"714,839",0.941,0.335,5.0,-10.179,0.0,0.505,0.17,0.262,0.7070000000000001,120.041,spotify:track:5hTpBe8h35rJ67eAWHQsJx,209640.0,4.0,-0.7199413238230234,-1.4532585057485579,-1.3394107752210402,1.1135780896550092,-0.5610341750343568,3
9,2017-01-01,DJ Snake,Let Me Love You,"690,483",0.649,0.716,8.0,-5.371,1.0,0.0349,0.0863,0.135,0.163,99.988,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,205947.0,4.0,-4.37725529776101,-1.8693904392538514,-2.0024805005437076,-0.3305550888225207,0.2832590534454961,1
10,2017-01-01,Big Sean,Bounce Back,"682,688",0.78,0.575,1.0,-5.627999999999999,0.0,0.139,0.106,0.129,0.273,81.502,spotify:track:0SGkqnVQo9KPytSri1H6cF,222360.0,4.0,-2.3012578736223,-1.7500212645200754,-2.047942874620465,-0.0789123777060947,-0.3482905798724141,1
