peak_rank,median_rank,days,peak_streams,median_streams,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
1.0,71.0,429.0,1823391.0,309115.0,Migos,Bad and Boujee (feat. Lil Uzi Vert),0.927,0.665,11.0,-5.313,1.0,0.244,0.061,0.0,0.123,0.175,127.076,spotify:track:4Km5HrUvYTaSUfiSGPJeQR,343150.0,4.0
2.0,96.0,455.0,1428332.0,249886.0,Drake,Fake Love,0.928,0.481,9.0,-9.35,0.0,0.287,0.105,0.0,0.17600000000000002,0.613,134.007,spotify:track:343YBumqHu19cGoGARUTsd,210937.0,4.0
3.0,101.5,464.0,1134858.0,248945.0,The Weeknd,Starboy,0.679,0.5870000000000001,7.0,-7.015,1.0,0.276,0.141,6.35e-06,0.13699999999999998,0.486,186.003,spotify:track:7MXVkk9YMctZqd1Srtv4MB,230453.0,4.0
4.0,119.0,536.0,1010492.0,245003.0,The Chainsmokers,Closer,0.748,0.524,8.0,-5.599,1.0,0.0338,0.414,0.0,0.111,0.6609999999999999,95.01,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,244960.0,4.0
5.0,101.0,240.0,874289.0,267720.0,Rae Sremmurd,Black Beatles,0.794,0.632,0.0,-6.1629999999999985,1.0,0.0649,0.142,0.0,0.128,0.355,145.92600000000004,spotify:track:6fujklziTHa8uoM5OQSfIo,291893.0,4.0
6.0,88.0,393.0,763259.0,267997.0,DRAM,Broccoli (feat. Lil Yachty),0.8859999999999999,0.525,8.0,-7.39,1.0,0.132,0.236,0.0,0.057,0.708,145.99,spotify:track:0O5fLzF9V8FCe0QXAi04ov,225205.0,4.0
7.0,130.0,498.0,753150.0,229272.0,Drake,One Dance,0.792,0.625,1.0,-5.609,1.0,0.0536,0.007759999999999999,0.00188,0.329,0.37,103.967,spotify:track:1zi7xx7UVEFkmKfv06H8x0,173987.0,4.0
6.0,99.0,389.0,835200.0,250387.0,Aminé,Caroline,0.941,0.335,5.0,-10.179,0.0,0.505,0.17,0.0,0.262,0.7070000000000001,120.041,spotify:track:5hTpBe8h35rJ67eAWHQsJx,209640.0,4.0
9.0,115.0,151.0,690483.0,226583.0,DJ Snake,Let Me Love You,0.649,0.716,8.0,-5.371,1.0,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,205947.0,4.0
3.0,77.5,468.0,1390055.0,306814.5,Big Sean,Bounce Back,0.78,0.575,1.0,-5.627999999999999,0.0,0.139,0.106,0.0,0.129,0.273,81.502,spotify:track:0SGkqnVQo9KPytSri1H6cF,222360.0,4.0
